HahaScaling (Scaling Vectors):
-0.8266286 -2.412897 -1.022241
-1.173034 -2.063134 -0.2967453
-0.6848463 -0.9778923 -0.8534747
-1.04286 -2.282134 -0.7844867
-1.094552 -1.957555 -1.436813
-1.017532 -2.167781 -1.021982
-0.6685743 -2.273705 0.1566897
-0.9037117 -2.451748 -0.8614528
-0.528168 -1.88974 -1.713691
-0.6115743 -1.968529 -1.137561
-0.9654363 -2.456743 -1.53136
-1.499056 -2.461888 -0.8505222
-0.9012196 -3.042617 -0.7772729
-0.7653158 -2.535823 -1.005978
-1.15602 -1.871653 -1.523348
-1.166913 -2.110759 -1.451017
0.238592 -2.259515 -1.196191
-1.115933 -2.517411 -1.179922
-0.3465689 -2.436651 -1.844628
-0.5043522 -2.602246 -0.5477173
-1.560178 -2.239904 -0.4724785
-0.2892779 -3.009001 -0.1791626
-1.268095 -3.502512 -1.852216
-0.4347678 -2.671326 -1.324345
-1.473827 -2.470148 -1.798919
-1.307397 -2.110871 0.09427276
-1.833197 -2.240276 -1.030329
-2.303192 -2.585735 -1.464519
-1.94048 -3.612824 -0.2028922
-0.8826903 -2.054331 -0.8583263
-0.7705366 -2.967878 -2.112572
1.032701 -2.323314 -1.36342
-0.4378943 -3.070228 -1.06607
-1.827406 -2.678566 -1.428048
-1.946341 -2.487731 -1.958186
-1.828852 -2.77576 -0.711207
-0.9471015 -2.526632 -1.114415
-0.08318418 -1.988174 -1.082565
-1.972813 -2.197933 -1.952469
-1.236825 -1.462467 0.622018
-1.800561 -1.410032 -0.9494297
-0.388115 -2.465068 -1.398876
0.3808669 -2.442698 -3.078434
-1.010064 -1.883942 -1.023238
-0.7838536 -2.299356 -1.240204
-0.5689444 -1.686432 -1.670955
-1.275443 -2.337032 -0.05053156
-1.309791 -1.873694 -1.398915
-1.198315 -1.360255 -0.1973375
-0.5484325 -1.979246 -0.905127
-0.8774253 -2.549951 -1.695636
-0.5223343 -2.633455 -0.6090127
-0.8900634 -2.743313 -1.166672
-1.368907 -2.872636 -1.571328
-0.9424551 -1.938374 -0.5212643
0.2758261 -2.288972 -0.9050764
-1.430496 -2.843092 -1.079906
-0.1893776 -2.694755 -1.329533
-1.807159 -2.775164 -0.8819681
-1.698116 -2.799555 -0.6913823
-0.5204245 -1.578579 -1.517295
-0.9294642 -2.172172 -0.7782612
-0.8682262 -2.588607 -1.239023
-0.9902053 -3.360011 -0.6992226
0.4783075 -3.256835 -0.5392659
-1.371294 -2.585781 -1.819057
-1.429413 -2.559607 -0.8147861
-1.261887 -3.170541 -0.7341732
-1.997315 -2.758061 -0.8126767
-0.5705354 -2.058296 -0.7216946
-0.4391725 -1.61373 -0.7780894
-1.163689 -2.582223 -1.268357
-1.50834 -2.630818 -0.9039408
-1.763287 -2.888179 -1.325636
-1.187726 -2.100504 -1.309741
-1.45718 -2.316176 -1.752702
-1.125893 -2.887899 -1.704248
-1.611259 -2.385047 -1.22228
-1.096329 -2.281241 -1.638644
-1.129954 -2.883077 -0.5409797
-1.15607 -2.084768 -1.702972
-0.02089833 -2.302454 -2.375663
-1.364893 -3.119893 -1.535423
-1.228941 -2.018416 -1.429574
-0.4830931 -2.29685 -1.627099
-0.9810085 -1.893507 -1.257809
-1.161976 -2.218266 -1.819686
-1.211674 -2.038417 -0.7472969
-0.8059357 -1.05089 0.1940978
-1.997119 -2.928599 -1.007335
-0.8310725 -2.832695 -1.23957
-1.822116 -2.638723 -1.322761
-1.649998 -1.948489 -1.474955
-0.6555896 -3.132737 -0.696795
-1.046262 -3.216242 -1.998775
0.5715106 -2.076992 -1.085599
-0.4838425 -1.686268 -0.7136701
-1.90689 -1.74256 -1.396144
-1.237927 -2.488425 -1.562754
-1.154094 -1.823441 -0.7215747
-0.1657131 -1.023875 0.2607999
-1.092768 -3.334215 -1.178967
-1.378656 -2.541716 -1.257298
-1.793447 -2.590349 -1.230398
-1.161394 -2.931577 -2.108126
0.04795432 -1.728221 -0.9698465
-1.94334 -3.701396 -1.79152
-0.7577329 -2.14711 -1.182248
-1.725938 -2.630152 -0.9601644
-1.693099 -2.716635 0.01687623
-2.336215 -2.587029 -1.677865
-1.092845 -2.211493 -1.286117
-0.3046833 -1.000534 -0.3790249
-1.187459 -2.771692 0.3368752
-1.347854 -2.550789 -1.742763
-1.077685 -2.665764 -1.672981
-2.143402 -2.604445 -1.612023
-0.9298173 -2.961001 -1.030186
-1.834044 -3.279481 -2.125737
-0.8885404 -2.218649 -1.244442
-1.927089 -2.938979 -1.425239
-1.944269 -1.825904 -0.1691447
-0.8755816 -2.688968 -0.9963263
-1.250182 -2.639999 -0.9850652
-0.5633245 -2.777846 -1.074718
-1.591789 -2.74297 -2.371291
-1.034452 -2.518259 -0.536611
-1.263744 -2.414068 -1.593707
-0.7142205 -3.286415 0.3457754
-1.353355 -2.090768 -1.077489
-1.468737 -2.272689 -0.6482709
-1.345627 -2.8014 -0.9189123
-0.7618119 -3.040673 -1.214701
-1.565478 -2.886193 -0.05059731
-0.3430974 -0.3760029 -2.076257
-1.689212 -2.740365 -1.641601
-1.064404 -1.78781 -0.1475467
-1.568028 -2.4966 -1.150408
-0.894246 -2.102441 -0.4006124
-0.985455 -2.073885 -1.223526
-1.029294 -2.080322 0.06560683
-0.9264373 -1.866301 -0.5311618
-1.025156 -2.302804 -1.849346
-1.694762 -2.233783 -1.985093
-1.408313 -1.642457 0.1861306
-1.706869 -2.285391 -1.033196
-1.264948 -2.398693 -0.7280439
-1.231247 -1.895711 -0.2724812
0.1498004 -1.824879 -0.9783204
-1.510373 -2.666513 -1.256442
-0.4030504 -2.403234 -0.9636725
-0.2942685 -2.283267 -1.836783
-0.5472955 -2.574134 -0.9983101
-1.351093 -3.464783 0.05994668
-0.8264002 -2.906203 -1.194345
-1.059031 -2.699293 -0.1213279
-0.7844129 -3.038659 -1.178279
-0.8475166 -2.21546 -0.7183552
