RBuffer (Rotation Quaternions):
-0.4279715 0.6875256 0.5447061 0.2178167
0.4000877 -0.3268977 0.6852978 0.5132587
-0.3099297 -0.4782466 0.6516144 -0.5006219
0.4698959 -0.388708 0.6584067 0.4411399
0.2453394 0.6371171 0.4337354 -0.5880169
-0.3716087 -0.3533793 0.7036639 -0.4918202
0.528604 -0.5136982 0.4921751 0.4630935
0.3292177 -0.2927175 0.7643984 0.4707729
0.6284906 -0.552079 0.007859933 0.5478563
-0.2964037 0.6762661 0.4290255 0.5203325
-0.096731 0.6964942 0.4031282 -0.5856847
-0.5494668 0.5392572 0.04342315 0.6367122
0.5681027 -0.3359843 0.4943834 0.565649
0.7279901 0.09913316 -0.3488362 -0.5818216
0.3303601 -0.2963044 0.7569137 0.4797369
0.4580412 -0.3302889 0.7014607 0.4348108
0.4155364 -0.3367589 0.6729025 0.511004
0.3072535 -0.3017991 0.7360055 0.5223105
0.1861987 -0.08670092 0.6742359 0.7093791
-0.4089904 -0.4752524 0.6528215 -0.4250718
0.4450918 0.56563 0.611215 0.3291994
-0.266259 0.720037 -0.6362712 -0.0762346
0.1744756 0.715827 -0.6724145 0.07077081
0.1965298 0.7446956 -0.6377088 -0.01148459
-0.3109668 0.6758813 0.6008986 0.2922414
0.6583888 0.3844989 0.3958143 0.5118747
0.6984418 0.5559122 0.2269402 -0.3894082
0.4216049 0.2564273 -0.3216923 0.8080892
0.3924417 0.2608087 -0.328124 0.8187203
0.3731307 0.2977375 -0.311781 0.8215341
0.4143149 0.2805408 -0.2792313 0.8195547
0.07286877 0.7368476 -0.6698018 0.05577717
0.01527678 0.8069241 -0.5858667 0.07348681
0.08152647 0.7874951 -0.6073821 0.06551096
0.3949222 0.4786055 -0.3025877 0.7234734
0.3514012 0.5080026 -0.2499146 0.7456495
0.3838645 0.5544707 -0.2386505 0.6987532
0.09783722 0.8361966 -0.5308191 0.09712946
0.3342611 0.4624796 -0.2626657 0.7780673
-0.3059155 0.7621008 -0.3596886 -0.4429921
-0.0791318 0.8291373 -0.5531087 0.01844481
0.5842759 -0.2762482 0.09306265 0.7573954
